date,open,high,low,close,volume
2023-07-10,25.1593,25.7959,25.0577,25.7682,9704648
2023-07-11,25.7806,25.8536,25.5432,25.5599,5898811
2023-07-12,25.5398,25.7728,25.3448,25.5826,5378341
2023-07-13,25.5,25.7877,25.4061,25.778,2685953
2023-07-14,25.7003,25.8097,25.4049,25.4196,4733670
2023-07-17,25.5324,25.6616,25.4136,25.4282,6209692
2023-07-18,25.4075,25.5212,25.3183,25.4354,4700778
2023-07-19,25.3944,25.5436,24.6141,24.6397,5207130
2023-07-20,24.602,25.2667,24.5272,25.0984,3388270
2023-07-21,25.2165,25.4575,25.1341,25.3772,5560689
2023-07-24,25.3323,25.4058,24.9499,25.0991,8242461
2023-07-25,25.1464,25.2551,24.9651,25.0292,6427392
2023-07-26,25.0492,25.2739,24.8776,25.2643,6447221
2023-07-27,25.2825,25.3615,25.0629,25.1531,4504913
2023-07-28,25.0869,25.3813,24.9987,25.0507,3210881
2023-07-31,25.1002,25.11,24.211,24.4029,3554968
2023-08-01,24.5207,24.7189,24.3772,24.6538,4704762
2023-08-02,24.65,24.9737,24.5519,24.7162,5513832
2023-08-03,24.648,24.8674,24.5901,24.8457,4401209
2023-08-04,24.7495,24.803,24.1645,24.1705,6213628
2023-08-07,24.1843,25.0301,24.0421,24.8959,6501185
2023-08-08,24.8756,25.0039,24.7531,24.9725,10004073
2023-08-09,24.9647,25.2068,24.7758,24.806,7177960
2023-08-10,24.8069,25.7517,24.597,25.7195,4006464
2023-08-11,25.6056,25.8586,25.5411,25.7062,4314674
2023-08-14,25.7664,25.929,24.8405,25.0426,2535475
2023-08-15,25.0602,25.0684,24.8043,24.8675,10763156
2023-08-16,24.8619,25.0391,23.7335,23.8507,4179002
2023-08-17,23.8672,24.3232,23.7775,24.3083,3754240
2023-08-18,24.3759,24.4391,23.9929,24.1334,8584214
2023-08-21,24.1373,24.2472,23.8173,23.8181,3159430
2023-08-22,23.7573,24.3066,23.4979,24.285,4328995
2023-08-23,24.37,24.3861,23.4676,23.5706,5142791
2023-08-24,23.5399,23.88,23.4935,23.8048,3506873
2023-08-25,23.753,23.9335,22.8482,22.9274,4308481
2023-08-28,22.8199,22.9428,22.5238,22.661,5347902
2023-08-29,22.6615,22.7072,22.1354,22.1766,7137641
2023-08-30,22.1069,22.84,21.9863,22.7668,5057888
2023-08-31,22.7314,23.5823,22.5927,23.4974,5832789
2023-09-01,23.5291,23.6818,23.2692,23.3651,3643440
2023-09-04,23.3675,23.793,23.3193,23.7257,6187589
2023-09-05,23.7981,23.9116,23.558,23.656,8860987
2023-09-06,23.6776,23.9498,23.4389,23.905,2652580
2023-09-07,23.876,23.9534,23.5095,23.5882,4048489
2023-09-08,23.5649,23.692,22.6848,22.8699,4472751
2023-09-11,22.8351,22.8584,21.9617,22.1345,2288839
2023-09-12,22.1775,22.3541,22.1326,22.2938,1644874
2023-09-13,22.2953,23.2548,22.1403,23.2025,5985140
2023-09-14,23.1738,23.391,23.0401,23.3219,3424393
2023-09-15,23.381,23.5139,23.0771,23.1087,5689879
2023-09-18,23.1154,23.9496,23.1085,23.911,4837895
2023-09-19,23.8776,24.0353,23.8413,24.0203,5521580
2023-09-20,23.9113,24.1618,23.8748,24.0713,4597631
2023-09-21,24.1029,24.213,23.8762,24.188,4613358
2023-09-22,24.2053,24.3211,24.034,24.1376,2903033
2023-09-25,24.1413,24.4921,23.8751,24.0104,3958991
2023-09-26,23.9791,24.0097,23.2873,23.3974,7588965
2023-09-27,23.3389,23.6807,23.3239,23.6157,4778891
2023-09-28,23.5996,23.8743,23.3677,23.5825,5417059
2023-09-29,23.5989,24.1338,23.4877,24.096,4148805
2023-10-02,24.0868,24.0975,23.8527,23.9433,4245056
2023-10-03,23.9329,23.9771,23.0667,23.1289,3778260
2023-10-04,23.0964,23.2541,23.0488,23.0943,7389166
2023-10-05,23.1178,24.0621,22.9944,23.8077,3183292
2023-10-06,23.8244,23.8376,23.6401,23.6506,4831932
2023-10-09,23.5972,23.6377,23.253,23.2788,2615054
2023-10-10,23.3319,23.5098,22.7093,22.7857,6181851
2023-10-11,22.8398,22.9143,22.2394,22.3619,6158614
